4.210526315789473450e+00,1.157894736842105310e+01,3.526315789473684248e+01,5.473684210526315752e+01,4.000000000000000000e+01,6.157894736842105488e+01,3.894736842105263008e+01,6.315789473684210265e+01
4.210526315789473450e+00,1.736842105263157876e+01,3.526315789473684248e+01,6.578947368421052033e+01,4.157894736842105488e+01,7.157894736842105488e+01,3.631578947368421240e+01,6.210526315789473983e+01
1.000000000000000000e+01,2.894736842105263008e+01,5.684210526315789735e+01,7.789473684210526017e+01,6.315789473684210265e+01,8.105263157894736992e+01,5.684210526315789735e+01,7.526315789473683537e+01
1.684210526315789380e+01,3.736842105263158231e+01,9.263157894736842479e+01,9.631578947368420529e+01,9.315789473684210975e+01,9.684210526315789025e+01,8.736842105263157521e+01,9.000000000000000000e+01
2.684210526315789380e+01,5.105263157894736992e+01,3.368421052631578760e+01,5.684210526315789735e+01,4.157894736842105488e+01,7.421052631578947967e+01,4.894736842105263008e+01,7.631578947368420529e+01
2.526315789473684248e+01,5.421052631578947256e+01,2.105263157894736725e+00,5.789473684210526550e+00,4.736842105263157521e+00,1.210526315789473628e+01,6.631578947368420529e+01,8.210526315789473983e+01
2.894736842105263008e+01,4.421052631578947256e+01,5.263157894736841813e-01,3.157894736842105310e+00,9.473684210526315042e+00,1.684210526315789380e+01,7.421052631578947967e+01,8.315789473684210975e+01
3.000000000000000000e+01,4.631578947368421240e+01,0.000000000000000000e+00,5.789473684210526550e+00,7.368421052631578760e+00,1.526315789473684248e+01,7.789473684210526017e+01,8.789473684210526017e+01
5.263157894736842479e+00,1.947368421052631504e+01,1.578947368421052655e+00,1.105263157894736814e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.263157894736841769e+01,7.842105263157894512e+01
7.894736842105262831e+00,1.947368421052631504e+01,5.263157894736841813e-01,1.052631578947368363e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.947368421052631504e+01,7.105263157894736992e+01
1.473684210526315752e+01,3.315789473684210265e+01,4.473684210526315752e+01,7.263157894736842479e+01,4.789473684210526017e+01,7.421052631578947967e+01,4.315789473684210265e+01,6.894736842105263008e+01
